tag_grouping,message,category_20,bucket_original,full_conversion
AnD AI,"Hi Jarred! It's awesome that you're thinking ahead. Starting early can really set you up for success by giving you a head start on learning the app and getting comfortable with deliveries. Plus, you can start earning right away! Do you have a moment today to try out a quick delivery and see how it goes?",App Issues,TSI-WN-001,True
AnD AI,"Hey Jarred, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,"Hey Alex, thanks for reaching out.  I plan on starting tomorrow.  I signed up last week just to get it done since I wasn't sure how long the signup to take",Encouragement,TSI-WN-001,True
AnD AI,Hi Gerson! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,
AnD AI,"Hey Gerson, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hi Gerson, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,"Great to hear your vehicle is ready! If you need any tips or have questions before you start tonight, check out this helpful guide: https://help.doordash.com/dashers/s/article/New-Dasher-Roadmap. You've got this, and I'm here if you need anything else!",Needs Guidance,TSI-WN-001,False
AnD AI,I'll be ready tonight my vehicle was getting serviced,Vehicle Issues,TSI-WN-001,False
AnD AI,"Hey Jason, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,False
AnD AI,Hi Yousuf! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,True
AnD AI,"Hey Yousuf, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,"Hi Yousuf, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,True
AnD AI,It went well and got three done in under and hour.,Unclassified,TSI-WN-001,True
AnD AI,That's fantastic - 3 deliveries in under an hour is solid! You're off to a great start. Need any tips for your next dash?,Documents,TSI-WN-001,True
AnD AI,An*,Unclassified,TSI-WN-001,True
AnD AI,I did some today,Documents,TSI-WN-001,True
AnD AI,That's awesome! Congratulations on getting out there today. How did it go for you?,Documents,TSI-WN-001,True
AnD AI,"Hey Natalie, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,For now I am good but thank you,Encouragement,TSI-WN-001,True
AnD AI,"Hey Osyulimar, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,,Unclassified,TSI-WN-001,True
AnD AI,Me e metido muchas vez haber si tengo posibilidad me sale si si ve que estoy en california y no sale nada,Documents,TSI-WN-001,True
AnD AI,Estoy en california la aplicación me dice que no lo tengo doordas disponible,Unclassified,TSI-WN-001,True
AnD AI,"Entiendo, Osyulimar. Asegúrate de que los servicios de ubicación estén activados para la app Dasher. Si estás en un iPhone, ve a Configuración > Privacidad > Servicios de ubicación y asegúrate de que estén activados para Dasher. En Android, ve a Configuración > Ubicación y verifica que esté activado. También, intenta cerrar la app y reiniciar tu teléfono. Si el problema persiste, puedo ayudarte a contactar al soporte técnico. ¿Te gustaría que te guíe en ese proceso?",App Issues,TSI-WN-001,True
AnD AI,"Entiendo, a veces la aplicación muestra que no hay disponibilidad si estás en una zona gris. Te recomendaría moverte a una zona roja o rosa en el mapa, donde hay más demanda. ¿Has intentado esto? También, verifica durante horas pico como almuerzo o cena para ver si aparece ""Dash Now"". ¿Ves alguna zona roja cerca?",Scheduling Issues,TSI-WN-001,True
AnD AI,"Hi Daniel, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,Hi Daniel! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,
AnD AI,"Hey Daniel, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Peak times 
11am to 2pm 
5pm to 9pm",Scheduling Issues,TSI-WN-001,
AnD AI,"Hey Casiolean, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hey! This is Maria from DoorDash. CONGRATS and welcome to the family!  You're all set and GOOD TO GO  - check your Dasher app! When are you planning to knock out your first delivery?  - If you've got a couple of minutes, check out these helpful videos:
1. New Dasher Roadmap:--:https://vimeo.com/463553500 —
2. How to Dash Now / Schedule Video:--https://vimeo.com/450246471
Feel free to text me if you need anything at all! I'm here to help! 
.",Personal Circumstances,TSI-WN-001,
AnD AI,"Hey Ted, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,"I totally get it! The great thing about DoorDash is you can dash whenever works for you, even if it's just 30-45 minutes between other things. When do you think you might have a window to give it a try?",Scheduling Issues,TSI-WN-001,True
AnD AI,"Just been busy, I'll get to it.",Personal Circumstances,TSI-WN-001,True
AnD AI,"Hey Ananiya, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,Hi Ananiya! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,
AnD AI,"Hi Ananiya, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,"I totally get it, Anthony. While you're waiting, maybe you could borrow a car from a friend or family member to get a head start? I know a Dasher who did that and it worked out great for them. Let me know if you want to give it a try!",Personal Circumstances,TSI-WN-001,
AnD AI,My car broke down and had been in the shop since I signed up but once I get it back I'll be dashing no problem,Vehicle Issues,TSI-WN-001,
AnD AI,"Hey Anthony, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hey Cyrena, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Good evening, I wanted to try but I wasn't really sure where to start. So I hope to try on the weekend",Location Questions,TSI-WN-001,
AnD AI,"No worries, Cyrena! It's great that you're planning to get back into it. Weekends are perfect for dashing, especially during lunch and dinner times when it's busiest. Do you want to schedule a time to start this weekend?",Scheduling Issues,TSI-WN-001,
AnD AI,I need a more reliable car.,Vehicle Issues,TSI-WN-001,
AnD AI,oh got it! when do you think you'd be able to get that squared away? .,Scheduling Issues,TSI-WN-001,
AnD AI,"Hey Whitney, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Perfect! If you start now, you'll already be familiar with the app by the time your kit arrives. What day were you thinking of giving it a try?",Scheduling Issues,TSI-WN-001,
AnD AI,I want the red card first,Equipment Concerns,TSI-WN-001,
AnD AI,Don't know yet,Needs Guidance,TSI-WN-001,
AnD AI,Tomorrow,Unclassified,TSI-WN-001,
AnD AI,"Hey Eileen, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"You actually don't need the hot bag/red card to start; you're 100% ready to go! Most orders don't require it, and it's typically mailed out after you begin dashing. Want to try logging on to see what orders are available in your area?",Equipment Concerns,TSI-WN-001,
AnD AI,Soon,Unclassified,TSI-WN-001,
AnD AI,Awesome! Tomorrow's a great day to get back out there. What time were you planning to start?,Scheduling Issues,TSI-WN-001,
AnD AI,"Since you're not sure yet, maybe try a quick dash during lunch or dinner tomorrow. Which one sounds better to you?",Needs Guidance,TSI-WN-001,
AnD AI,"Hi Rolando, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,Hi Rolando! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,
AnD AI,"Hey Rolando, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"I totally understand, family comes first. The great thing about DoorDash is that you can dash whenever it fits into your schedule, even if it's just for a short time. Do you think you might have a little time this week to give it a try and see how it works for you?",Personal Circumstances,TSI-WN-001,True
AnD AI,"Hey Jalen, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,I just been having a lot going on in my family,Personal Circumstances,TSI-WN-001,True
AnD AI,"Hi Mark, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,Stop,Unclassified,TSI-WN-001,
AnD AI,"Hey Mark, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hi Rachelle, you're all set to start delivering with DoorDash. Open the app and start earning today! Reply 'STOP' to opt out",App Issues,TSI-WN-001,
AnD AI,"Hi Rachelle, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,"Hey Rachelle, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hi Reko, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,"Hey Reko, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hi Reko, you're all set to start delivering with DoorDash. Open the app and start earning today! Reply 'STOP' to opt out",App Issues,TSI-WN-001,
AnD AI,That's awesome! Many Dashers in your shoes took the plunge and never looked back. How about trying your first dash during the lunch rush today?,Unclassified,TSI-WN-001,
AnD AI,"Hey Ibrahima, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hi Ibrahima, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,Yes,Unclassified,TSI-WN-001,
AnD AI,"Hey Jonathan, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hi Jonathan, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,Hi Jonathan! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,
AnD AI,That makes sense! You're not alone—many people sign up for the same reason and love the flexibility. Trying a few short dashes now will ensure you know how it works when you need it. Do you think you might have time to give it a shot this weekend?,Scheduling Issues,TSI-WN-001,
AnD AI,Bro........,Unclassified,TSI-WN-001,
AnD AI,Just wanted to sign up so I could be ready if my lawn mowing service didn't take off.  I may try to do a delivery tomorrow or on a weekend day possibly.   Thank you,Documents,TSI-WN-001,
AnD AI,"That's great to hear! Even doing a few trial runs now can help you learn the ropes and be fully ready later. Plus, starting sooner means you'll have a track record built up by the time you really need it. Do you have a specific day in mind to try your first delivery?",Needs Guidance,TSI-WN-001,
AnD AI,"Hey Adam, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,Very VERY possible,Unclassified,TSI-WN-001,
AnD AI,Hey Daniel! Totally get the 3rd shift hustle. The great thing about DoorDash is you can dash anytime. Even a quick hour after your shift can add up. When do you think you could give it a try?,Scheduling Issues,TSI-WN-001,
AnD AI,My cousin does it and I'm going to try and take him with me this weekend to show me the ropes,Unclassified,TSI-WN-001,
AnD AI,"Hey Daniel, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,I'm a 3rd shifter looking how to fit dashing in my schedule,Needs Guidance,TSI-WN-001,
AnD AI,"Hey Daniel! That's awesome you're learning with your cousin. Congrats on taking the first step! Once you're ready, start your first dash and see the benefits. Need any tips? 😊",Encouragement,TSI-WN-001,
AnD AI,"Hey Frank, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hi Frank, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,Hi Frank! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,
AnD AI,Hi Simon! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,
AnD AI,"Hi Simon, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,"Hey Simon, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"That's understandable, Carlos! Even if you can squeeze in a few trial runs this week, it could really help you get comfortable with the process before you dive in next week. Plus, starting sooner means you'll have a bit of experience under your belt when you're ready to go full swing. Do you think you might have a window to try a quick dash this weekend?",Needs Guidance,TSI-WN-001,
AnD AI,I will be ready to dash next week. Thank you,Encouragement,TSI-WN-001,
AnD AI,"That's great to hear, Carlos! I know working around your kids' schedule can be tough, but the flexibility of DoorDash might be perfect for you. You could try dashing during nap times or after bedtime to see how it fits into your routine. Even a few hours a week can make a difference. Do you think you might have some free time to give it a try this week?",Personal Circumstances,TSI-WN-001,
AnD AI,I'm not sure about this week yet but I know for certain that next week I will be able to.,Needs Guidance,TSI-WN-001,
AnD AI,"Hey Carlos, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",Vehicle Issues,TSI-WN-001,
AnD AI,"Good morning, yes I'm very eager to start but I'm a stay at home parent for now and I will be returning back to work in next week or two.",Encouragement,TSI-WN-001,
AnD AI,"Hey Jose, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,I intend on doing it as a side hustle so when I have time I'll start.,Scheduling Issues,TSI-WN-001,True
AnD AI,"That sounds like a solid plan! Even doing a quick dash when you have a spare hour can help you get a feel for it and start earning. Plus, it's a busy time right now, so you might find it rewarding! Want to give it a try soon and see how it goes?",Personal Circumstances,TSI-WN-001,True
AnD AI,"Hey Jose, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,Hi Jose! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,
AnD AI,"Hi Jose, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,"Thanks for reaching out

The sign up was much faster than I thought

I will probably try the first dash within a couple of weeks.",Encouragement,TSI-WN-001,
AnD AI,"Hey Douglas, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"That's great to hear, Douglas! When you're ready to start, check out this resource for tips on your first dash and everything you need to get started: https://help.doordash.com/dashers/s/article/New-Dasher-Roadmap. Let me know if there's anything specific you want to know before you hit the road!",Needs Guidance,TSI-WN-001,
AnD AI,"You actually don't need the DoorDash bag to start dashing, so you're good to go! It's usually sent out after you begin, but you can definitely start earning now. Want to give it a try and see how it feels?",Encouragement,TSI-WN-001,True
AnD AI,So I tried to go active and do my 1st door dash...and after 10 mins the 1st ordered popped up and it was pizza hut and said bag required.,Documents,TSI-WN-001,True
AnD AI,"Hey Nicholas, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,Im getting ready to start soon.  Don't I need a door dash bag 1st?,Encouragement,TSI-WN-001,True
AnD AI,My buddy says door dash sends you one.,Unclassified,TSI-WN-001,True
AnD AI,Brother there were many hours i kept the app open there is no ordere coming to me,Scheduling Issues,TSI-WN-001,True
AnD AI,I even tried yesterday twice,Unclassified,TSI-WN-001,True
AnD AI,"Hey Paramveer, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,Early next week I believe,Unclassified,TSI-WN-001,
AnD AI,"Hi Joseph, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,Not yet. I need to finalize my meeting schedule first. But I will!,Scheduling Issues,TSI-WN-001,
AnD AI,"No worries, Joseph! Starting sooner can really pay off. Even a few trial runs now can help you learn the ropes and be fully ready later. Plus, you'll have a track record built up by the time you really need it! Let me know if you need any help getting started.",Needs Guidance,TSI-WN-001,
AnD AI,"That's great to hear! Starting early can really set you up for success. Even a few trial runs now can help you get comfortable and build a track record, so when you have that slow day, you'll be ready to hit the ground running. Do you want to schedule a time to try it out next week?",Needs Guidance,TSI-WN-001,
AnD AI,"That's a smart move, Joseph! Starting with a few trial runs now can help you learn the ropes and be fully ready when you need it. Plus, you'll have a track record built up by the time you really want to dive in. Do you think you might have a slow day coming up to give it a try?",Needs Guidance,TSI-WN-001,
AnD AI,"Yes. I signed up to be able to use DoorDash as a side gig. I wanted to sign up before I needed to so as soon as I have a slow day at my regular business, I would be 100% ready to go",Documents,TSI-WN-001,
AnD AI,"Hey Joseph, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hey María, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,Hi María! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,
AnD AI,"Hi María, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,"Hi Nicholas, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,False
AnD AI,Hi Nicholas! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,False
AnD AI,"Hey Nicholas, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,False
AnD AI,"I'm out of town, I'll be back on the weekend",Unclassified,TSI-WN-001,
AnD AI,"Hey Alex, thanks for reaching out, I was waiting to start at the end of the month.",Encouragement,TSI-WN-001,
AnD AI,"That makes sense! Since your area has been pretty busy lately, you could actually start earning toward those end-of-month expenses now. Want to try a delivery this week to see how it feels?",Personal Circumstances,TSI-WN-001,
AnD AI,"Thanks Alex, imma start on Monday cause I know my area.",Location Questions,TSI-WN-001,
AnD AI,"Hey Debra, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,Sounds perfect! Monday's a great day to get back into it. Looking forward to seeing you out there earning in your area!,Location Questions,TSI-WN-001,
AnD AI,"Perfect! You can actually dash anywhere if you want some extra spending money while you're out of town, or just wait until you're back this weekend. Either way works great!",Payment Questions,TSI-WN-001,
AnD AI,"I totally get it - work can definitely keep you busy! The great thing about DoorDash is you can dash whenever works for you, even if it's just 30-45 minutes here and there. Do you think you might have a small window this week to give it a try?",Personal Circumstances,TSI-WN-001,
AnD AI,"That's awesome! Many dashers actually dash while out of town for spending money. The cool thing is you can dash in multiple locations if you want to earn a bit extra during your trip. When you're back in a week, would you be interested in giving it a try?",Payment Questions,TSI-WN-001,
AnD AI,"Hey Danitza, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,I have work and i haven't been able to do delivers,Unclassified,TSI-WN-001,
AnD AI,"Honestly I don't think so, I'm about to go out of town for a trip, so I would be starting like in a week",Unclassified,TSI-WN-001,
AnD AI,Hi Darren! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,
AnD AI,"Hi Darren, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,
AnD AI,"Hey Darren, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,
AnD AI,"Hey Dayaris, it's Alex from DoorDash. I'm reaching out because I saw you hadn't made any deliveries yet. If you don't want to hear from me just reply stop, but is there anything keeping you from starting today?",No Interest,TSI-WN-001,True
AnD AI,Hi Dayaris! Great news - you're all approved to start delivering with DoorDash. Start today and take control of your financial goals! Reply 'STOP' to opt out.,App Issues,TSI-WN-001,True
AnD AI,"Hi Dayaris, Alex here. Your area has been busy recently! Are you still interested in working with DoorDash?",Personal Circumstances,TSI-WN-001,True
