Inbound_Message,Bucket_ID,Bucket_Title,Suggested_Response_Strategy,Did_Convert,BGC_Conversion
I couldn't finish the application. After I scan my license nothing happened. Screen just went blank white . I have tried 7 times.,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,True
I have a full time job during the week so thinking to start sundays and mondays and until I get the hang of things,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",True,True
I have tried several times. Deleted the app and everything. Still no change,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",False,True
I just haven't gotten time to finish filling it out I'm sorry,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,True
I will but busy for now,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,True
I work my full time job Monday thru Thursday so probably be this weekend before I am able to,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",True,True
"I'm not good on computers and phones. I'm much better than I use to be, but every time I try to send it to you it don't get to you all.",OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,
"I'm so glad

Sorry to take up your time lol
But yea I'll definitely look at the app soon and get that situated 

Thank you again for your kindness 
I hope you have an amazing rest of the day and great weekend",OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",True,True
Is it anytime?,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",False,True
It is possible sometime this weekend,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",True,True
"It keeps saying that I need to wait for verification of my identity. But with the endless emails about me completing my application and then me logging in every time just to be told to wait, not gonna lie, that's lame. So I went with uber instead.",OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,
"Need fAst money, no time to wait for a card to come in the mail",OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,
No just needing to take a pic of my drivers license I didn't have it on me at the time,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",True,True
O nice yup I'm 30. Should have some free time later on today,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",True,True
"Oh yes! I am planning to do it this weekend. I work during the week and it's have been so busy. 

I apologize for not replying back much sooner.",OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",True,True
"So I tried putting my new I mean, I put my new phone number in there twice and the second time it wouldn't give me a code. I don't know why.",OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,
The app goes blank Everytime I scan my face,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,True
Yeah let me see how my schedule is for tomorrow should be good,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,True
Yes we're still interested but needing another phone which I don't have access to at this time,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,
Yes. The fact that I've tried submitting my ID multiple times and nothing happens.,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,True
"i've tried looking at the app multiple times today and it still shows the same ""we're verifying your identity"" page",OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",True,True
no i just haven't had the time,OBJ-BS-001,Busy,"1) Reassure that DoorDash's flexible scheduling can work around even the busiest of routines. | 2) Highlight that many busy people dash effectively by targeting peak hours or small time slots. | 3) Offer tips on how to incorporate dashing into daily errands or commutes. | SOCIAL PROOF: DoorDash is perfect for a busy schedule, giving you the flexibility to make extra money.; No worries, once you get started you'll see how easy it is to fit in, even around tight schedules. | ASK: What has been keeping you busy?; What does your schedule typically look like? | URGENCY: Dashing for even a short period each day can lead to meaningful extra income.",,
And I submitted my permit I get my drivers license later this week,OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",True,True
Any promos for new drivers?,OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",True,True
But I don't have a car,OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",True,True
But it is telling me that my driver's license is not right,OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",,True
For some reason last week when i tried putting in my application it failed to verify my Drivers license with my face scan,OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",,
"Hello Alex, I was just waiting for the email that said my Identification card was verified!",OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",True,True
"Hello Alex, yes I'm just waiting until I get paid again to get insurance for my new car given that I'm a new driver.",OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",False,True
Hello I need to change my information of my car,OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",,
"Hello, my review status was rejected. I told them I for a new number and email and license and I wasn't able to go into the old account and change anything bc it's still waiting for a background check months later! I've had this new number for over 4 months now and the old number to that account is no longer in my position. The number for the old account ends im 7824. I also had a South Dakota license. My current number ends in 9630 and I now have a North Dakota drivers license",OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",,True
"Hey Alex, are you guys looking for drivers in the Norman, Oklahoma city OK area?",OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",,True
"Hi Alex.

My drivers license is still pending",OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",True,True
"Hi there, thank you for messaging me Alex
Unfortunately, I do not have a drivers license. I will have to first get that completed and see my next step after that thank you for reaching out.",OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",,
Hi. I haven't received my driving license . I will get it in a month,OBJ-CP-001,Car Problems,"1) Suggest dasher to borrow a car from a relative or a friend to get a head start on dashing. | 2) Determine how long it will take the applicant to fix the car. | 3) If the car repairs are short-term, congratulate the applicant on taking the steps to fix their car, and reassure them that they can borrow a car in the meantime to start earning money. | 4) If the car repairs will take longer than 2 weeks, remind them DoorDash allows any car, including borrowed or rented vehicles. | 5) Suggest short dashes or side gigs until the applicant's own car is fixed or replaced. | SOCIAL PROOF: Great thing about DD is that you can use any car!; Understand car troubles can be frustrating, especially if you need extra money soon. | ASK: What's going on with your car?; Is the issue going to cost you a lot of money to fix? | URGENCY: I'd love for you to try it out today or tomorrow so you can be ready to start earning when you get your car back!",True,True
